row_in_bag,weight
0,0.05473514273762703
1,0.05237501114606857
2,0.05012708157300949
3,0.047987207770347595
4,0.0459512360394001
5,0.04401504248380661
6,0.04217452555894852
7,0.04042565077543259
8,0.03876442462205887
9,0.03718695789575577
10,0.035689447075128555
11,0.03426816686987877
12,0.032919514924287796
13,0.03163999691605568
14,0.03042622096836567
15,0.02927493117749691
16,0.028182988986372948
17,0.02714737132191658
18,0.026165181770920753
19,0.025233644992113113
20,0.02435012347996235
21,0.023512063547968864
22,0.022717071697115898
23,0.021962832659482956
24,0.021247170865535736
25,0.02056800201535225
26,0.01992335543036461
27,0.01931135356426239
28,0.01873023435473442
29,0.018178312107920647
30,0.017653999850153923
31,0.017155788838863373
