row_in_bag,weight
0,0.05473514273762703
1,0.05237501114606857
2,0.05012708157300949
3,0.047987207770347595
4,0.0459512360394001
5,0.04401504248380661
6,0.042174529284238815
7,0.04042564705014229
8,0.03876442462205887
9,0.03718695789575577
10,0.035689447075128555
11,0.03426816686987877
12,0.032919514924287796
13,0.03163999319076538
14,0.03042622283101082
15,0.02927493490278721
16,0.02818298526108265
17,0.02714737318456173
18,0.026165183633565903
19,0.02523365244269371
20,0.0243501216173172
21,0.023512063547968864
22,0.022717071697115898
23,0.021962832659482956
24,0.021247170865535736
25,0.02056800201535225
26,0.01992335356771946
27,0.019311359152197838
28,0.01873023621737957
29,0.018178315833210945
30,0.017654001712799072
31,0.017155788838863373
