row_in_bag,weight
0,0.32925957441329956
1,0.2222469002008438
2,0.1489100456237793
3,0.09923084080219269
4,0.06590176373720169
5,0.043711960315704346
6,0.029019635170698166
7,0.019324015825986862
8,0.012933356687426567
9,0.008717255666851997
10,0.00592766935005784
11,0.004073118790984154
12,0.0028322027064859867
13,0.0019952545408159494
14,0.0014255300629884005
15,0.0010336856357753277
16,0.0007611560868099332
17,0.0005693566636182368
18,0.00043270696187391877
19,0.000334118987666443
20,0.0002620867162477225
21,0.00020878961367998272
22,0.0001688617339823395
23,0.00013858410238754004
24,0.00011535297380760312
25,9.732553735375404e-05
26,8.318480831803754e-05
27,7.197878585429862e-05
28,6.30127833574079e-05
29,5.5774398788344115e-05
30,4.988202636013739e-05
31,4.5048585889162496e-05
