row_in_bag,weight
0,0.32925957441329956
1,0.2222469598054886
2,0.1489100456237793
3,0.09923084080219269
4,0.06590176373720169
5,0.04371195286512375
6,0.02901962772011757
7,0.019324010238051414
8,0.012933356687426567
9,0.008717255666851997
10,0.005927667021751404
11,0.004073115065693855
12,0.0028322027064859867
13,0.001995255472138524
14,0.0014255286660045385
15,0.0010336845880374312
16,0.0007611560868099332
17,0.0005693564307875931
18,0.0004327067290432751
19,0.000334118987666443
20,0.0002620865998324007
21,0.00020878951181657612
22,0.0001688617339823395
23,0.00013858410238754004
24,0.00011535291559994221
25,9.732545004226267e-05
26,8.318480831803754e-05
27,7.197878585429862e-05
28,6.30127833574079e-05
29,5.5774398788344115e-05
30,4.98819827043917e-05
31,4.5048585889162496e-05
