row_in_bag,weight
0,0.05691800266504288
1,0.05449608713388443
2,0.05216623470187187
3,0.04992666840553284
4,0.04777546972036362
5,0.045710641890764236
6,0.04373008385300636
7,0.04183163493871689
8,0.040013059973716736
9,0.03827207162976265
10,0.036606352776288986
11,0.035013552755117416
12,0.03349129110574722
13,0.03203719109296799
14,0.03064887225627899
15,0.029323965311050415
16,0.02806011401116848
17,0.02685498632490635
18,0.025706281885504723
19,0.024611743167042732
20,0.023569146171212196
21,0.022576307877898216
22,0.021631117910146713
23,0.020731497555971146
24,0.019875435158610344
25,0.019060974940657616
26,0.018286218866705894
27,0.01754934899508953
28,0.016848580911755562
29,0.01618221588432789
30,0.015548606403172016
31,0.014946173876523972
