row_in_bag,weight
0,0.09137896448373795
1,0.08366265892982483
2,0.07653795927762985
3,0.06997069716453552
4,0.06392708420753479
5,0.058374013751745224
6,0.05327918380498886
7,0.04861128330230713
8,0.04434012621641159
9,0.0404367558658123
10,0.03687350079417229
11,0.03362409770488739
12,0.030663667246699333
13,0.02796878106892109
14,0.02551744505763054
15,0.023289090022444725
16,0.02126452885568142
17,0.01942596584558487
18,0.017756905406713486
19,0.016242099925875664
20,0.01486754696816206
21,0.013620343990623951
22,0.012488683685660362
23,0.011461763642728329
24,0.010529729537665844
25,0.009683596901595592
26,0.008915199898183346
27,0.00821711402386427
28,0.007582611404359341
29,0.0070055946707725525
30,0.006480549927800894
31,0.006002489011734724
