row_in_bag,weight
0,0.08054549992084503
1,0.07466671615839005
2,0.06918256729841232
3,0.06407340615987778
4,0.05931971222162247
5,0.054902199655771255
6,0.05080188810825348
7,0.0470002144575119
8,0.043479084968566895
9,0.040220990777015686
10,0.03720897436141968
11,0.03442677482962608
12,0.03185879439115524
13,0.029490143060684204
14,0.027306679636240005
15,0.025294993072748184
16,0.02344239316880703
17,0.021736949682235718
18,0.020167451351881027
19,0.018723376095294952
20,0.017394917085766792
21,0.01617290824651718
22,0.015048845671117306
23,0.014014811255037785
24,0.01306348480284214
25,0.012188093736767769
26,0.01138237677514553
27,0.01064056996256113
28,0.009957359172403812
29,0.009327861480414867
30,0.008747593499720097
31,0.008212432265281677
