row_in_bag,weight
0,0.1963927447795868
1,0.15975427627563477
2,0.1292421519756317
3,0.104032963514328
4,0.08336416631937027
5,0.06654108315706253
6,0.052941419184207916
7,0.04201642423868179
8,0.03328954428434372
9,0.026352934539318085
10,0.020862311124801636
11,0.016530802473425865
12,0.013122214004397392
13,0.010444222949445248
14,0.00834174919873476
15,0.00669088214635849
16,0.005393352825194597
17,0.004371730610728264
18,0.0035653426311910152
19,0.0029268376529216766
20,0.0024193793069571257
21,0.0020143648143857718
22,0.0016896126326173544
23,0.0014279211172834039
24,0.0012159451143816113
25,0.0010433089919388294
26,0.0009019366116262972
27,0.0007855214062146842
28,0.0006891239900141954
29,0.000608862959779799
30,0.0005416739149950445
31,0.0004851307603530586
