row_in_bag,weight
0,0.1963927447795868
1,0.15975427627563477
2,0.1292421519756317
3,0.104032963514328
4,0.08336414396762848
5,0.06654108315706253
6,0.052941419184207916
7,0.04201642423868179
8,0.03328954428434372
9,0.026352934539318085
10,0.020862311124801636
11,0.016530802473425865
12,0.013122214004397392
13,0.010444220155477524
14,0.00834174919873476
15,0.00669088214635849
16,0.005393352825194597
17,0.0043717315420508385
18,0.003565344261005521
19,0.0029268376529216766
20,0.0024193793069571257
21,0.002014363883063197
22,0.0016896126326173544
23,0.0014279218157753348
24,0.0012159451143816113
25,0.0010433089919388294
26,0.0009019366116262972
27,0.0007855218136683106
28,0.0006891242228448391
29,0.000608862959779799
30,0.0005416739149950445
31,0.0004851307603530586
